Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Chunichi Dragons,95,"<a href=""https://proeyekyuu.com/player/?PlayerID=03005159"">Rodriguez, Christian</a>",SS,20,0.974,13,24,1,3,,03005159
2025,Regular Season,Hokkaido Nippon-Ham Fighters,67,"<a href=""https://proeyekyuu.com/player/?PlayerID=03105136"">Yamamoto, Takumi</a>",P,27,1.000,1,4,0,0,,03105136
2025,Regular Season,Chunichi Dragons,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=03105150"">Mori, Shunta</a>",3B,6,0.786,2,9,3,0,,03105150
2025,Regular Season,Yomiuri Giants,67,"<a href=""https://proeyekyuu.com/player/?PlayerID=03105151"">Yamase, Shinnosuke</a>",C,1,1.000,8,2,0,0,0,03105151
2025,Regular Season,Chunichi Dragons,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=03105157"">Muramatsu, Kaito</a>",SS,52,0.982,75,149,4,33,,03105157
2025,Regular Season,Tokyo Yakult Swallows,28,"<a href=""https://proeyekyuu.com/player/?PlayerID=03105159"">Matsumoto, Kengo</a>",P,23,1.000,3,3,0,0,,03105159
2025,Regular Season,Yokohama DeNA Baystars,99,"<a href=""https://proeyekyuu.com/player/?PlayerID=03205159"">Ford, Mike</a>",1B,11,0.976,75,8,2,4,,03205159
2025,Regular Season,Tohoku Rakuten Golden Eagles,36,"<a href=""https://proeyekyuu.com/player/?PlayerID=03305150"">Yoshinoh, Tsubasa</a>",OF,2,1.000,4,0,0,0,,03305150
2025,Climax Series - First Stage,Yomiuri Giants,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=03305153"">Yamasaki, Iori</a>",P,1,1.000,0,1,0,0,,03305153
2025,Regular Season,Yomiuri Giants,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=03305153"">Yamasaki, Iori</a>",P,25,0.975,13,26,1,1,,03305153
2025,Japan Series,Hanshin Tigers,85,"<a href=""https://proeyekyuu.com/player/?PlayerID=03505132"">Dolis, Rafael</a>",P,2,0.000,0,0,0,0,,03505132
2025,Regular Season,Hanshin Tigers,85,"<a href=""https://proeyekyuu.com/player/?PlayerID=03505132"">Dolis, Rafael</a>",P,20,1.000,1,2,0,0,,03505132
2025,Regular Season,Chiba Lotte Marines,99,"<a href=""https://proeyekyuu.com/player/?PlayerID=03505136"">Soto, Neftali</a>",1B,73,0.993,557,36,4,34,,03505136
2025,Regular Season,Orix Buffaloes,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=03505155"">Yokoyama, Kaede</a>",P,14,1.000,0,1,0,0,,03505155
2025,Regular Season,Yokohama DeNA Baystars,62,"<a href=""https://proeyekyuu.com/player/?PlayerID=03505159"">Wick, Rowan</a>",P,40,1.000,3,6,0,0,,03505159
2025,Regular Season,Yomiuri Giants,29,"<a href=""https://proeyekyuu.com/player/?PlayerID=03705157"">Griffin, Foster</a>",P,14,0.846,2,9,2,0,,03705157
2025,Regular Season,Chiba Lotte Marines,42,"<a href=""https://proeyekyuu.com/player/?PlayerID=03905150"">Sammons, Bryan</a>",P,16,1.000,2,7,0,0,,03905150
2025,Regular Season,Hanshin Tigers,99,"<a href=""https://proeyekyuu.com/player/?PlayerID=03905157"">Beasley, Jeremy</a>",P,8,1.000,1,3,0,0,,03905157
2025,Climax Series - First Stage,Yomiuri Giants,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015136"">Sunagawa, Richard</a>",1B,2,1.000,14,2,0,3,,11015136
2025,Regular Season,Fukuoka Softbank Hawks,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015136"">Sunagawa, Richard</a>",3B,6,0.923,7,5,1,0,,11015136
2025,Regular Season,Yomiuri Giants,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015136"">Sunagawa, Richard</a>",1B,43,0.994,331,18,2,26,,11015136
2025,Regular Season,Yomiuri Giants,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015136"">Sunagawa, Richard</a>",3B,24,0.978,14,31,1,1,,11015136
2025,Regular Season,Tohoku Rakuten Golden Eagles,8,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015138"">Tatsumi, Ryosuke</a>",OF,114,0.997,330,6,1,2,,11015138
2025,Regular Season,Hiroshima Toyo Carp,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015150"">Sasaki, Tai</a>",3B,50,0.945,30,74,6,7,,11015150
2025,Regular Season,Hiroshima Toyo Carp,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015150"">Sasaki, Tai</a>",OF,2,1.000,5,0,0,0,,11015150
2025,Climax Series - Final Stage,Yokohama DeNA Baystars,20,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015151"">Sakamoto, Yuya</a>",P,1,0.000,0,0,0,0,,11015151
2025,Climax Series - First Stage,Yokohama DeNA Baystars,20,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015151"">Sakamoto, Yuya</a>",P,1,0.000,0,0,0,0,,11015151
2025,Regular Season,Yokohama DeNA Baystars,20,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015151"">Sakamoto, Yuya</a>",P,35,0.889,4,4,1,0,,11015151
2025,Regular Season,Chunichi Dragons,70,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015153"">Kondo, Ren</a>",P,16,0.000,0,0,0,0,,11015153
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,33,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015159"">Shintoh, Yuya</a>",C,3,1.000,18,2,0,0,1,11015159
2025,Regular Season,Hokkaido Nippon-Ham Fighters,33,"<a href=""https://proeyekyuu.com/player/?PlayerID=11015159"">Shintoh, Yuya</a>",C,13,0.990,84,12,1,1,0,11015159
2025,Regular Season,Yomiuri Giants,11,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215114"">Tanaka, Masahiro</a>",P,10,1.000,1,5,0,0,,11215114
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,7,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215116"">Nakamura, Akira</a>",1B,3,1.000,15,2,0,1,,11215116
2025,Regular Season,Fukuoka Softbank Hawks,7,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215116"">Nakamura, Akira</a>",1B,89,0.993,647,61,5,55,,11215116
